Id;Year;Zoonoses;NoDeaths;;
1;1918;Spanish Flu;50.000.000;;
2;1937;West NileVirus;15.000;;
3;1957;Asian Flu  ;100.000;;
4;1968;Hong Kong Flu;700.000;;
5;1976;Ebola Virus;14.693;;
6;1981;HIV;30.000.000;;
7;1994;Hendra Virus;4;;
8;1997;Avian Flu;371;;
9;1999;Nipah Virus;265;;
10;2002;SARS coronavirus;774;;
11;2009;Swine Flu;200.000;;
12;2012;MERS coronavirus;858;;
13;2013;Avian Flu;616;;
14;2015;Zika Virus;59;;
15;2019;Covid19;1.006.985;;
;;;;;
;;;;;
